k02means,k03means,k04means,k05means,k06means,k07means,k08means,k09means,k10means
0.013411095,0.188570348,0.297364367,0.303319672,0.353773796,0.725697405,0.370609765,0.804231885,0.791548334
0.008835654,0.177843797,0.227787109,0.359679341,0.601514352,0.433226468,0.571950953,0.59991028,0.771212908
0.046612031,0.102468227,0.23736629,0.326584016,0.409607485,0.499804121,0.595607109,0.735612015,0.591294422
0.099613822,0.196165552,0.263056441,0.303016594,0.677067763,0.712496999,0.558779099,0.50738353,0.595257899
0.067286328,0.176769159,0.195639481,0.390960274,0.436776979,0.633872639,0.591610969,0.565577616,0.589510888
0.017503078,0.108639031,0.239705937,0.324671545,0.385161818,0.458893458,0.646734688,0.564906414,0.568495206
0.050588828,0.094022822,0.255369444,0.260438857,0.384410001,0.517928532,0.440903054,0.576660051,0.574590634
0.12304656,0.189104735,0.179328142,0.407659116,0.66945608,0.393603202,0.725008312,0.639816817,0.603725326
0.110097154,0.179858861,0.343864748,0.352711539,0.338189257,0.4294421,0.555111658,0.731250023,0.503494936
0.068507131,0.179904907,0.175143879,0.48722207,0.603435931,0.600959241,0.447700944,0.707237999,0.798994812
0.008153997,0.101649639,0.223113641,0.389873116,0.393051036,0.696697292,0.514850354,0.574005248,0.534067392
0.059926745,0.088274591,0.253661444,0.57033979,0.482702396,0.498508021,0.573916637,0.622773772,0.710400642
0.101120793,0.167507393,0.305499328,0.348668686,0.45317503,0.429789158,0.518709953,0.610638225,0.589584871
0.023609952,0.180122541,0.325939948,0.423584979,0.34881101,0.729808783,0.575775955,0.591158779,0.559141317
0.05158961,0.105209898,0.238425904,0.339024343,0.282804396,0.493851823,0.435594464,0.546761018,0.604415409
0.004352167,0.095541761,0.244937339,0.390978647,0.354322014,0.555553905,0.57330549,0.657891832,0.583092489
0.068776131,0.171857226,0.243731462,0.361697393,0.404064741,0.392105839,0.672589594,0.539005005,0.811245448
0.135529467,0.179682492,0.24770778,0.357664825,0.517348094,0.541766441,0.460037994,0.55346515,0.606701307
0.062427745,0.100169082,0.28148028,0.475726252,0.748965187,0.406057251,0.689489049,0.56562746,0.707227954
0.064791373,0.101916045,0.262010808,0.29112043,0.396439666,0.439958531,0.735713449,0.532542582,0.563038084
0.085049648,0.104963119,0.250307072,0.425576441,0.407232045,0.423386521,0.531539872,0.620856441,0.637803655
0.063415976,0.014286623,0.222341928,0.447178799,0.471658937,0.464809832,0.547595093,0.523553802,0.749150369
0.065121013,0.104683418,0.181441721,0.482344653,0.399285389,0.734177604,0.550090539,0.75656305,0.688626577
0.116886873,0.095793524,0.237877334,0.351070781,0.649158509,0.499332757,0.584365457,0.756506994,0.786670296
0.05313152,0.201669489,0.183374915,0.45094108,0.342633389,0.521931084,0.7343454,0.719928885,0.775981997
0.051382946,0.097779868,0.266968121,0.215564749,0.487298766,0.44114332,0.553670192,0.570899593,0.942636031
0.076942121,0.097901306,0.219936473,0.351771978,0.475053492,0.593456466,0.628663372,0.58194102,0.505927996
0.057319561,0.201149356,0.166317244,0.241543129,0.469081132,0.491201873,0.559024704,0.494179346,0.801512016
0.069393995,0.176528035,0.234911047,0.316830066,0.619251064,0.580716838,0.461461036,0.545656374,0.621806416
0.064126935,0.167989588,0.267153833,0.457529319,0.34120348,0.511868487,0.583923027,0.720028779,0.67825763
0.07857957,0.195055063,0.27628039,0.359333438,0.473343763,0.646292806,0.622938391,0.445054154,0.58734155
0.056531776,0.024015004,0.18684349,0.335500154,0.454036099,0.568522681,0.61426662,0.567052155,0.771139398
