"lon"	"lat"	"rname"
"25735"	-119.31373	36.62439	"25735"
"25832"	-77.44675	37.54812	"25832"
"25850"	-96.325984	30.609093	"25850"
"25876"	-119.75126	37.25022	"25876"
"25988"	-77.487162	38.744685	"25988"
"25994"	-93.314839	45.160411	"25994"
"25996"	-71.188149	42.353696	"25996"
"26045"	-76.71857	42.082585	"26045"
"26049"	-71.188149	42.353696	"26049"
"26063"	-71.27875	42.300596	"26063"
"26073"	-71.026964	42.370567	"26073"
"26211"	-117.925338	33.870292	"26211"
"26246"	-86.435094	39.07881	"26246"
"26279"	-76.177636	36.854364	"26279"
"26287"	-73.96514	41.82787	"26287"
"26349"	-92.406245	40.746315	"26349"
"26369"	-118.303805	33.835665	"26369"
"26419"	-97.771258	30.326374	"26419"
"26458"	-71.026964	42.370567	"26458"
"26525"	-71.61318	42.5447	"26525"
"26643"	-71.026964	42.370567	"26643"
"26698"	-71.27875	42.300596	"26698"
"26821"	-71.088745	42.308198	"26821"
"26873"	-82.324515	29.648993	"26873"
"26882"	-71.263686	42.291506	"26882"
"26902"	-77.605404	39.041987	"26902"
"26946"	-77.3418	38.96146	"26946"
"26964"	-122.47011	37.730308	"26964"
"26976"	-78.028054	38.283465	"26976"
"26991"	-117.853112	33.787795	"26991"
"27002"	-117.826166	33.745851	"27002"
"27007"	-117.750414	33.757245	"27007"
"27012"	-97.258997	37.651974	"27012"
"27023"	-71.188149	42.353696	"27023"
"27040"	-71.026964	42.370567	"27040"
"27064"	-71.088745	42.308198	"27064"
"27159"	-71.188149	42.353696	"27159"
"27162"	-117.387565	34.403315	"27162"
"27198"	-71.026964	42.370567	"27198"
"27208"	-84.87762	38.20042	"27208"
"27285"	-77.487162	38.744685	"27285"
"27288"	-80.270379	25.753332	"27288"
"27379"	-94.554677	39.203892	"27379"
"27380"	-71.27875	42.300596	"27380"
"27426"	-71.188149	42.353696	"27426"
"27429"	-71.2245	42.44732	"27429"
"27448"	-71.459405	42.446396	"27448"
"27464"	-77.3418	38.96146	"27464"
"27537"	-71.188149	42.353696	"27537"
"27544"	-117.90006	33.916681	"27544"
"27548"	-99.25061	31.25044	"27548"
"27559"	-117.24821	32.759852	"27559"
"27571"	-77.367457	38.983887	"27571"
"27633"	-77.645224	39.085309	"27633"
"27702"	-117.853112	33.787795	"27702"
"27863"	-76.177636	36.854364	"27863"
"27944"	-77.605404	39.041987	"27944"
"28018"	-87.753945	41.845588	"28018"
"28155"	-87.658544	41.902042	"28155"
"28161"	-122.487136	38.371334	"28161"
"28210"	-96.790329	32.781179	"28210"
"28318"	-117.808922	33.810564	"28318"
"28347"	-97.399067	27.797802	"28347"
"28374"	-84.072463	33.865587	"28374"
"28462"	-122.47011	37.730308	"28462"
"28497"	-87.658544	41.902042	"28497"
"28540"	-82.800103	27.965853	"28540"
"28558"	-93.234949	45.160799	"28558"
"28564"	-77.367457	38.983887	"28564"
"28583"	-83.569359	41.720684	"28583"
"28586"	-77.659636	39.220432	"28586"
"28639"	-77.367457	38.983887	"28639"
"28774"	-71.2398	42.388938	"28774"
"28853"	-75.4999	43.00035	"28853"
"28858"	-119.320645	36.348613	"28858"
"28884"	-85.676819	38.188962	"28884"
"28911"	-88.057908	42.197375	"28911"
"28967"	-71.188149	42.353696	"28967"
"29071"	-84.47405	33.844371	"29071"
"29082"	-95.672102	45.281669	"29082"
"29127"	-87.658544	41.902042	"29127"
"29153"	-71.2245	42.44732	"29153"
"29167"	-97.771258	30.326374	"29167"
"29278"	-117.894732	33.774478	"29278"
"29298"	-117.853112	33.787795	"29298"
"29468"	-85.389874	40.142124	"29468"
"29535"	-117.925338	33.870292	"29535"
"29581"	-75.11787	40.001811	"29581"
"29625"	-87.658544	41.902042	"29625"
"29643"	-71.167083	42.417695	"29643"
"29646"	-71.27875	42.300596	"29646"
"29653"	-87.658544	41.902042	"29653"
"29655"	-87.658544	41.902042	"29655"
"29678"	-77.3418	38.96146	"29678"
"29691"	-71.188149	42.353696	"29691"
"29893"	-71.459405	42.446396	"29893"
"29925"	-77.60375	38.957718	"29925"
"29975"	-71.2245	42.44732	"29975"
"30007"	-99.25061	31.25044	"30007"
"30014"	-97.0062	32.826951	"30014"
"30020"	-87.738662	41.668922	"30020"
"30140"	-117.853112	33.787795	"30140"
"30176"	-71.2245	42.44732	"30176"
"30272"	-97.057661	31.937903	"30272"
"30298"	-117.894732	33.774478	"30298"
"30308"	-73.130503	41.207146	"30308"
"30309"	-73.130503	41.207146	"30309"
"30317"	-91.550218	31.660219	"30317"
"30400"	-71.026964	42.370567	"30400"
"30423"	-119.75126	37.25022	"30423"
"30542"	-87.658544	41.902042	"30542"
